QE,AA,AAS_VIEWED_BY_QE,QE_AND_AA_APPENDED
HIXNY,00002,00002,HIXNY|00002
BRONX,1.2.840.114350.1.13.99998.8734,1.2.840.114350.1.13.99998.8734,BRONX|1.2.840.114350.1.13.99998.8734
HIXNY,1003861782,1003861782,HIXNY|1003861782
HIXNY,1013042084,1013042084,HIXNY|1013042084
HIXNY,1023581717,1023581717,HIXNY|1023581717
HIXNY,1033118708,1033118708,HIXNY|1033118708
HIXNY,1043861974,1043861974,HIXNY|1043861974
HIXNY,1053303826,1053303826,HIXNY|1053303826
HIXNY,1073569331,1073569331,HIXNY|1073569331
HIXNY,1073796967,1073796967,HIXNY|1073796967
HIXNY,10767,10767,HIXNY|10767
HIXNY,1083256564,1083256564,HIXNY|1083256564
HIXNY,10859,10859,HIXNY|10859
HIXNY,1114954682,1114954682,HIXNY|1114954682
HIXNY,1124039607,1124039607,HIXNY|1124039607
HIXNY,1124071709,1124071709,HIXNY|1124071709
HIXNY,1144315367,1144315367,HIXNY|1144315367
HIXNY,11488,11488,HIXNY|11488
HIXNY,1154428431,1154428431,HIXNY|1154428431
HIXNY,1164727475,1164727475,HIXNY|1164727475
HIXNY,11803,11803,HIXNY|11803
HIXNY,1184634297,1184634297,HIXNY|1184634297
HIXNY,1205934148,1205934148,HIXNY|1205934148
BRONX,1211_WPR_MEDICAL_SERVICES,1211 WPR MEDICAL SERVICES,BRONX|1211 WPR MEDICAL SERVICES
HIXNY,1215003579,1215003579,HIXNY|1215003579
HIXNY,1225250525,1225250525,HIXNY|1225250525
HIXNY,1235183294,1235183294,HIXNY|1235183294
HIXNY,1245309434,1245309434,HIXNY|1245309434
HIXNY,1255360046,1255360046,HIXNY|1255360046
HIXNY,1265446124,1265446124,HIXNY|1265446124
HIXNY,1285667634,1285667634,HIXNY|1285667634
HIXNY,1306032545,1306032545,HIXNY|1306032545
HIXNY,1316055940,1316055940,HIXNY|1316055940
HIXNY,1326066556,1326066556,HIXNY|1326066556
HIXNY,1336156223,1336156223,HIXNY|1336156223
HIXNY,1336193838,1336193838,HIXNY|1336193838
HIXNY,1356792717,1356792717,HIXNY|1356792717
HIXNY,13638,13638,HIXNY|13638
HIXNY,1366872244,1366872244,HIXNY|1366872244
HIXNY,137,137,HIXNY|137
HIXNY,1376673319,1376673319,HIXNY|1376673319
HIXNY,1386730752,1386730752,HIXNY|1386730752
HIXNY,1396856530,1396856530,HIXNY|1396856530
HIXNY,1396959110,1396959110,HIXNY|1396959110
HIXNY,1407289077,1407289077,HIXNY|1407289077
HIXNY,1407898745,1407898745,HIXNY|1407898745
HIXNY,1407898745SA,1407898745SA,HIXNY|1407898745SA
HIXNY,1407937485,1407937485,HIXNY|1407937485
HIXNY,1427002419,1427002419,HIXNY|1427002419
HIXNY,1447211552,1447211552,HIXNY|1447211552
HIXNY,1447720271,1447720271,HIXNY|1447720271
HIXNY,1457395279,1457395279,HIXNY|1457395279
HIXNY,1457895278SA,1457895278SA,HIXNY|1457895278SA
HIXNY,1477503142,1477503142,HIXNY|1477503142
HIXNY,1477589901,1477589901,HIXNY|1477589901
HIXNY,1487600326,1487600326,HIXNY|1487600326
HIXNY,1487662227,1487662227,HIXNY|1487662227
HIXNY,1518107069,1518107069,HIXNY|1518107069
HIXNY,1518135979,1518135979,HIXNY|1518135979
HIXNY,1518136001,1518136001,HIXNY|1518136001
HIXNY,1518926401,1518926401,HIXNY|1518926401
HIXNY,1528070232,1528070232,HIXNY|1528070232
HIXNY,1528283132,1528283132,HIXNY|1528283132
HIXNY,1538324207,1538324207,HIXNY|1538324207
HIXNY,15391ALERT,15391ALERT,HIXNY|15391ALERT
HIXNY,1558192211,1558192211,HIXNY|1558192211
HIXNY,15628HRSN,15628HRSN,HIXNY|15628HRSN
HIXNY,1568492247,1568492247,HIXNY|1568492247
HIXNY,1578577417,1578577417,HIXNY|1578577417
HIXNY,1598720369,1598720369,HIXNY|1598720369
HIXNY,1619922218,1619922218,HIXNY|1619922218
HIXNY,16271,16271,HIXNY|16271
HIXNY,16271ALERT,16271ALERT,HIXNY|16271ALERT
HIXNY,1639239221SA,1639239221SA,HIXNY|1639239221SA
HIXNY,1659865962,1659865962,HIXNY|1659865962
HIXNY,1679691745,1679691745,HIXNY|1679691745
HIXNY,1689713067,1689713067,HIXNY|1689713067
HIXNY,1700966801SA,1700966801SA,HIXNY|1700966801SA
HIXNY,1710931837,1710931837,HIXNY|1710931837
HIXNY,1720405863,1720405863,HIXNY|1720405863
HIXNY,1730122359,1730122359,HIXNY|1730122359
HIXNY,1750307039,1750307039,HIXNY|1750307039
HIXNY,1770646804,1770646804,HIXNY|1770646804
HIXNY,1770922130,1770922130,HIXNY|1770922130
HIXNY,1801291307,1801291307,HIXNY|1801291307
HIXNY,1801969043,1801969043,HIXNY|1801969043
HIXNY,1801971817,1801971817,HIXNY|1801971817
HIXNY,1801983788,1801983788,HIXNY|1801983788
HIXNY,18107,18107,HIXNY|18107
HIXNY,18107SA,18107SA,HIXNY|18107SA
HIXNY,1821080664,1821080664,HIXNY|1821080664
HIXNY,1821164096,1821164096,HIXNY|1821164096
HIXNY,1821257320,1821257320,HIXNY|1821257320
HIXNY,1821293309,1821293309,HIXNY|1821293309
HIXNY,1841224052,1841224052,HIXNY|1841224052
HIXNY,1841661766,1841661766,HIXNY|1841661766
HIXNY,18477,18477,HIXNY|18477
HIXNY,1851326326,1851326326,HIXNY|1851326326
HIXNY,1851341580,1851341580,HIXNY|1851341580
HIXNY,1851353882,1851353882,HIXNY|1851353882
HIXNY,1861153884,1861153884,HIXNY|1861153884
HIXNY,1861585549,1861585549,HIXNY|1861585549
