QE_NAME,SOURCE,smrn_count,AAAsViewedByQE,QEAndAAAppended
GRRHIO,UR0429,0,UR0429,GRRHIO|UR0429
BRONX,STATEN_ISLAND_UNIVERSITY_HOSPITAL,0,STATEN ISLAND UNIVERSITY HOSPITAL,BRONX|STATEN ISLAND UNIVERSITY HOSPITAL
GRRHIO,UR0558,0,UR0558,GRRHIO|UR0558
HECDCS,THOUS-ISLANDS,0,THOUS-ISLANDS,HECDCS|THOUS-ISLANDS
HIXNY,ANYTIMEHC,0,ANYTIMEHC,HIXNY|ANYTIMEHC
GRRHIO,UR2084,0,UR2084,GRRHIO|UR2084
HIXNY,312426,0,312426,HIXNY|312426
GRRHIO,UR1244,0,UR1244,GRRHIO|UR1244
TXD,UBAMST,0,UBAMST,TXD|UBAMST
BRONX,ONE_BROOKLYN_HEALTH,0,ONE BROOKLYN HEALTH,BRONX|ONE BROOKLYN HEALTH
GRRHIO,UR0303,0,UR0303,GRRHIO|UR0303
HECDCS,SIMPSON-FAM-WELL,0,SIMPSON-FAM-WELL,HECDCS|SIMPSON-FAM-WELL
HIXNY,HECMCILIP,0,HECMCILIP,HIXNY|HECMCILIP
GRRHIO,UR0574,0,UR0574,GRRHIO|UR0574
HEALTHIX,ANTHEM,0,ANTHEM,HEALTHIX|ANTHEM
GRRHIO,RRH266,0,RRH266,GRRHIO|RRH266
BRONX,2.16.840.1.113883.3.8018,0,2.16.840.1.113883.3.8018,BRONX|2.16.840.1.113883.3.8018
HIXNY,HECOSWHTH,0,HECOSWHTH,HIXNY|HECOSWHTH
HEALTHIX,CITYBLOCK.DUPLICATE1,0,CITYBLOCK,HEALTHIX|CITYBLOCK
HIXNY,A2HACO,0,A2HACO,HIXNY|A2HACO
GRRHIO,UR0130,0,UR0130,GRRHIO|UR0130
HIXNY,ELLS,0,ELLS,HIXNY|ELLS
HEALTHIX,PMSPC,0,PMSPC,HEALTHIX|PMSPC
GRRHIO,EPID,0,EPID,GRRHIO|EPID
HECDCS,REFUAH-HEALTH,0,REFUAH-HEALTH,HECDCS|REFUAH-HEALTH
HEALTHIX,NYCHH,0,NYCHH,HEALTHIX|NYCHH
HECDCS,WEST-MED-CTR,0,WEST-MED-CTR,HECDCS|WEST-MED-CTR
HIXNY,BASTRHO,0,BASTRHO,HIXNY|BASTRHO
HEALTHIX,NYPCC,0,NYPCC,HEALTHIX|NYPCC
HEALTHIX,NYCH,0,NYCH,HEALTHIX|NYCH
HEALTHIX,CHSLI.DUPLICATE1,0,CHSLI,HEALTHIX|CHSLI
HEALTHIX,F,0,F,HEALTHIX|F
HIXNY,AMHS,0,AMHS,HIXNY|AMHS
BRONX,AFFINITY,0,AFFINITY,BRONX|AFFINITY
HEALTHIX,JMC,0,JMC,HEALTHIX|JMC
HEALTHIX,G,0,G,HEALTHIX|G
GRRHIO,SMH.DUPLICATE,0,SMH,GRRHIO|SMH
HIXNY,CCMGDOC,0,CCMGDOC,HIXNY|CCMGDOC
TXD,KHS.DUPLICATE1,0,KHS,TXD|KHS
HIXNY,SPHPEPIC,0,SPHPEPIC,HIXNY|SPHPEPIC
HIXNY,MALTAEMS,0,MALTAEMS,HIXNY|MALTAEMS
HECDCS,MONTE-WP,0,MONTE-WP,HECDCS|MONTE-WP
GRRHIO,UR0676,0,UR0676,GRRHIO|UR0676
HEALTHIX,METROPOLITAN.DUPLICATE1,0,METROPOLITAN,HEALTHIX|METROPOLITAN
HECDCS,KPH-HEALTHCARE,0,KPH-HEALTHCARE,HECDCS|KPH-HEALTHCARE
HECDCS,CROUSE-HOSP,0,CROUSE-HOSP,HECDCS|CROUSE-HOSP
HEALTHIX,LMPC,0,LMPC,HEALTHIX|LMPC
HECDCS,NUVANCE-HEALTH,0,NUVANCE-HEALTH,HECDCS|NUVANCE-HEALTH
HIXNY,WMCDOC,0,WMCDOC,HIXNY|WMCDOC
HECDCS,CNY-SPINE-PAIN,0,CNY-SPINE-PAIN,HECDCS|CNY-SPINE-PAIN
HIXNY,GFHGIS,0,GFHGIS,HIXNY|GFHGIS
BRONX,SINDHU_GUPTA,0,SINDHU GUPTA,BRONX|SINDHU GUPTA
TXD,UAHS,0,UAHS,TXD|UAHS
HEALTHIX,ECWCAMPED,0,ECWCAMPED,HEALTHIX|ECWCAMPED
HEALTHIX,EZRA,0,EZRA,HEALTHIX|EZRA
HIXNY,SPHPSJHDOC,0,SPHPSJHDOC,HIXNY|SPHPSJHDOC
GRRHIO,WELNOW,0,WELNOW,GRRHIO|WELNOW
HIXNY,HECCMMKMG,0,HECCMMKMG,HIXNY|HECCMMKMG
HEALTHIX,EMOLST.DUPLICATE2,0,EMOLST,HEALTHIX|EMOLST
HIXNY,SPSFHFAMMED,0,SPSFHFAMMED,HIXNY|SPSFHFAMMED
GRRHIO,UR0703,0,UR0703,GRRHIO|UR0703
HIXNY,1073569331,0,1073569331,HIXNY|1073569331
GRRHIO,SBP,0,SBP,GRRHIO|SBP
HECDCS,QUEST.DUPLICATE1,0,QUEST,HECDCS|QUEST
HIXNY,WMCBSMGPCP,0,WMCBSMGPCP,HIXNY|WMCBSMGPCP
HEALTHIX,PMHC,0,PMHC,HEALTHIX|PMHC
GRRHIO,WMG,0,WMG,GRRHIO|WMG
HIXNY,SHURGHL7,0,SHURGHL7,HIXNY|SHURGHL7
TXD,INSPIR,0,INSPIR,TXD|INSPIR
BRONX,NYGI,0,NYGI,BRONX|NYGI
HEALTHIX,BODHI,0,BODHI,HEALTHIX|BODHI
HEALTHIX,MSHQ,0,MSHQ,HEALTHIX|MSHQ
HIXNY,1518926401,0,1518926401,HIXNY|1518926401
